"sec"   "mA"   "mV"
2.034   -10.407660484314   -13.4254245758057
2.039   -10.407660484314   -13.4254245758057
2.044   -7.88457489013672   4.83717250823975
2.049   -7.88457489013672   4.83717250823975
2.055   -28.7859191894531   -18.9686470031738
2.06   -28.7859191894531   -18.9686470031738
2.065   -28.4947853088379   -17.2603855133057
2.07   -28.4947853088379   -17.2603855133057
2.075   -7.30255365371704   11.2916288375854
2.081   -7.30255365371704   11.2916288375854
2.086   -6.75903558731079   14.2153549194336
2.091   -6.62315607070923   15.6203565597534
2.096   -6.62315607070923   15.6203565597534
2.101   -6.8561635017395   16.4173831939697
2.107   -6.8561635017395   16.4173831939697
2.112   -7.01141881942749   17.1390819549561
2.117   -7.01141881942749   17.1390819549561
2.122   -7.05017042160034   17.9740142822266
2.127   -7.05017042160034   17.9740142822266
2.133   -7.3800573348999   18.354061126709
2.138   -7.3800573348999   18.354061126709
2.143   -7.98170280456543   18.0882225036621
2.148   -12.0183420181274   13.4941434860229
2.153   -12.0183420181274   13.4941434860229
2.159   -19.2765922546387   -1.16190946102142
2.164   -19.2765922546387   -1.16190946102142
2.169   -15.0653209686279   3.96384525299072
2.174   -15.0653209686279   3.96384525299072
2.179   -6.8561635017395   20.3281593322754
2.185   -6.8561635017395   20.3281593322754
2.19   -6.25451803207397   21.9606056213379
2.195   -6.25451803207397   21.9606056213379
2.2   -6.25451803207397   21.9606056213379
2.205   -6.93366718292236   22.0748138427734
2.211   -6.93366718292236   22.0748138427734
2.216   -6.87553930282593   22.4164657592773
2.221   -6.87553930282593   22.4164657592773
2.226   -6.72028398513794   23.1376762390137
2.231   -6.72028398513794   23.1376762390137
2.237   -6.8561635017395   23.2518844604492
2.242   -6.8561635017395   23.2518844604492
2.247   -7.08892250061035   23.1376762390137
2.252   -7.08892250061035   23.1376762390137
2.257   -7.08892250061035   23.1376762390137
2.263   -7.57406425476074   22.7581176757813
2.268   -7.57406425476074   22.7581176757813
2.273   -8.17570972442627   21.8847904205322
2.278   -8.17570972442627   21.8847904205322
2.283   -62.3404502868652   -51.5456428527832
2.289   -62.3404502868652   -51.5456428527832
2.294   -61.8940582275391   -53.1022720336914
2.299   -61.8940582275391   -53.1022720336914
2.304   -7.3800573348999   20.745626449585
2.309   -6.62315607070923   24.0489120483398
2.315   -6.62315607070923   24.0489120483398
2.32   -6.23514223098755   25.1501693725586
2.325   -6.23514223098755   25.1501693725586
2.33   -6.68153238296509   24.9601459503174
2.335   -6.68153238296509   24.9601459503174
2.341   -6.95304298400879   24.5426788330078
2.346   -6.95304298400879   24.5426788330078
2.351   -6.81716346740723   24.8464241027832
2.356   -6.81716346740723   24.8464241027832
2.361   -6.77841138839722   25.2259826660156
2.367   -6.93366718292236   25.2259826660156
2.372   -6.93366718292236   25.2259826660156
2.377   -7.14729833602905   24.9601459503174
2.382   -7.14729833602905   24.9601459503174
2.387   -7.36068105697632   25.0364475250244
2.393   -7.36068105697632   25.0364475250244
2.398   -7.74869537353516   24.5047721862793
2.403   -7.74869537353516   24.5047721862793
2.408   -8.44746875762939   23.6314449310303
2.413   -8.44746875762939   23.6314449310303
2.419   -8.44746875762939   23.6314449310303
2.424   -51.1426887512207   -41.9016227722168
2.429   -51.1426887512207   -41.9016227722168
2.434   -7.03079462051392   24.1252117156982
2.439   -7.03079462051392   24.1252117156982
2.445   -6.37102174758911   26.2514266967773
2.45   -6.37102174758911   26.2514266967773
2.455   -6.42914915084839   26.5551700592041
2.46   -6.42914915084839   26.5551700592041
2.465   -6.8561635017395   26.0993099212646
2.471   -6.8561635017395   26.0993099212646
2.476   -6.8561635017395   26.0993099212646
2.481   -6.81716346740723   26.5167770385742
2.486   -6.81716346740723   26.5167770385742
2.491   -6.83678770065308   26.4788703918457
2.497   -6.83678770065308   26.4788703918457
2.502   -6.99204301834106   26.2130317687988
2.507   -6.99204301834106   26.2130317687988
2.512   -7.16667413711548   26.0614032745361
2.517   -7.16667413711548   26.0614032745361
2.523   -7.43818473815918   25.6439361572266
2.528   -8.02045440673828   24.9980525970459
2.533   -8.02045440673828   24.9980525970459
2.538   -17.452278137207   12.4307928085327
2.543   -17.452278137207   12.4307928085327
2.549   -20.13037109375   4.07805347442627
2.554   -20.13037109375   4.07805347442627
2.559   -10.5239162445068   16.3036613464355
2.564   -10.5239162445068   16.3036613464355
2.569   -6.7977876663208   26.0234966278076
2.575   -6.7977876663208   26.0234966278076
2.58   -6.29326963424683   27.4280128479004
2.585   -6.6037802696228   27.4280128479004
2.59   -6.6037802696228   27.4280128479004
2.595   -6.97241878509521   26.8205223083496
2.601   -6.97241878509521   26.8205223083496
2.606   -6.83678770065308   27.0484523773193
2.611   -6.83678770065308   27.0484523773193
2.616   -6.73965978622437   27.1626605987549
2.621   -6.73965978622437   27.1626605987549
2.627   -6.91429090499878   27.1626605987549
2.632   -6.91429090499878   27.1626605987549
2.637   -6.91429090499878   27.1626605987549
2.642   -7.30255365371704   26.8589153289795
2.647   -7.30255365371704   26.8589153289795
2.653   -7.65181589126587   26.3272399902344
2.658   -7.65181589126587   26.3272399902344
2.663   -8.27283763885498   25.6439361572266
2.668   -8.27283763885498   25.6439361572266
2.673   -67.7937622070313   -57.2404937744141
2.679   -67.7937622070313   -57.2404937744141
2.684   -67.25048828125   -58.7213096618652
2.689   -67.25048828125   -58.7213096618652
2.694   -67.25048828125   -58.7213096618652
2.699   -6.54565286636353   27.3521976470947
2.704   -6.54565286636353   27.3521976470947
2.71   -6.2738938331604   28.4155464172363
2.715   -6.2738938331604   28.4155464172363
2.72   -6.72028398513794   27.6938495635986
2.725   -6.72028398513794   27.6938495635986
2.73   -6.95304298400879   27.4664058685303
2.736   -6.95304298400879   27.4664058685303
2.741   -6.87553930282593   27.8838729858398
2.746   -6.8561635017395   28.0355014801025
2.751   -6.8561635017395   28.0355014801025
2.756   -6.97241878509521   27.8080577850342
2.762   -6.97241878509521   27.8080577850342
2.767   -7.1276741027832   27.770149230957
2.772   -7.1276741027832   27.770149230957
2.777   -7.36068105697632   27.3521976470947
2.782   -7.36068105697632   27.3521976470947
2.788   -7.82644748687744   26.6688938140869
2.793   -7.82644748687744   26.6688938140869
2.798   -8.54459667205811   25.5676364898682
2.803   -76.4493103027344   -72.1623840332031
2.808   -76.4493103027344   -72.1623840332031
2.814   -75.7701568603516   -72.921501159668
2.819   -75.7701568603516   -72.921501159668
2.824   -7.14729833602905   25.6055431365967
2.829   -7.14729833602905   25.6055431365967
2.834   -6.40977334976196   28.1118030548096
2.84   -6.40977334976196   28.1118030548096
2.845   -6.37102174758911   28.9088287353516
2.85   -6.37102174758911   28.9088287353516
2.855   -6.83678770065308   28.2634315490723
2.86   -6.95304298400879   28.1876163482666
2.866   -6.95304298400879   28.1876163482666
2.871   -6.8561635017395   28.5292682647705
2.876   -6.8561635017395   28.5292682647705
2.881   -6.93366718292236   28.6429920196533
2.886   -6.93366718292236   28.6429920196533
2.892   -7.05017042160034   28.3392467498779
2.897   -7.05017042160034   28.3392467498779
2.902   -7.14729833602905   28.1876163482666
2.907   -7.14729833602905   28.1876163482666
2.912   -7.14729833602905   28.1876163482666
2.918   -7.98170280456543   27.1626605987549
2.923   -7.98170280456543   27.1626605987549
2.928   -8.81610679626465   25.9855880737305
2.933   -8.81610679626465   25.9855880737305
2.938   -31.0953731536865   -11.6408634185791
2.944   -31.0953731536865   -11.6408634185791
2.949   -30.0473384857178   -11.1854887008667
2.954   -30.0473384857178   -11.1854887008667
2.959   -6.87553930282593   27.3521976470947
2.965   -6.31264543533325   29.2504806518555
2.97   -6.31264543533325   29.2504806518555
2.975   -6.50665283203125   29.1746654510498
2.98   -6.50665283203125   29.1746654510498
2.985   -6.89491510391235   28.8330135345459
2.991   -6.89491510391235   28.8330135345459
2.996   -6.89491510391235   28.870922088623
3.001   -6.89491510391235   28.870922088623
